Pfarrer ;Katholisches Büro Stuttgart;70184;Stafflenbergstraße 14;;Stuttgart;Neudecker;Dr. Gerhard ;Kommissariat der Bischöfe in Baden-Württemberg
Rechtsanwältin;Katholisches Büro Bayern;80335;Dachauerstraße 50;;München;Nickel;Bettina ;
;Katholisches Büro Berlin-Brandenburg;10115;Chausseestraße 128/129;;Berlin;Engelbreth;Gregor;
;Katholisches Büro Bremen ;28195;Hohe Straße 8-9;;Bremen;Stecker;Dr. Bernhard;
Domkapitular;Kommissariat der katholischen Bischöfe im Lande Hessen;65187;Frauenlobstraße 5;;Wiesbaden;Pax;Dr. Wolfgang ;
;Katholisches Büro Hamburg;20099;Am Mariendom 4;;Hamburg;Bäumer ;Beate ;
;Erzbischöfliches Amt Schwerin;19057;Lankower Straße 14-16;;Schwerin;Nagler;Dr. Norbert;
Direktor Prälat;Katholisches Büro Niedersachsen ;30175;Nettelbeckstraße 11;;Hannover;Bernhard;Prof. Dr. Felix;
Domkapitular;Katholisches Büro NRW;40219;Hubertusstraße 3;;Düsseldorf;Hamers;Dr. Antonius ;
;Katholisches Büro Mainz;55122;Saarstraße 1;;Mainz;Skala;Dieter ;
Ordinariatsdirektorin;Katholisches Büro Saarland;66111;Ursulinenstraße 67;;Saarbrücken;Göbel;Katja;
Ordinariatsrat / Diakon;Katholisches Büro Sachsen;1067;Schloßstraße 24;;Dresden;Frank;Dr. Daniel;
;Katholisches Büro Sachsen-Anhalt;39104;Max-Josef-Metzger-Straße 2;;Magdeburg;Rether;Stephan ;
;Katholisches Büro Erfurt;99084;Stiftsgasse 4a (Michaelshaus);;Erfurt;Kullmann ;Dr. Claudio;
;Bundesministerium der Justiz;10117;Mohrenstraße 37;;Berlin;;;
;Bayerisches Staatsministerium der Justiz;80097;Prielmayerstr. 7;;München;;;
;Ministerium der Justiz und für Migration Baden-Württemberg ;70173;Schillerplatz 4;;Stuttgart;;;
;Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung ;10825;Salzburger Straße 21;;Berlin;;;
;Ministerium der Justiz Brandenburg;14473;Heinrich-Mann-Allee 107;;Potsdam;;;
;Ministerium für Justiz Bremen ;28195;Richtweg 16-22;;Bremen;;;
;Behörde für Justiz Hamburg ;20354;Drehbahn 36 ;;Hamburg;;;
;Hessisches Ministerium der Justiz;65185;Luisenstraße 13;;Wiesbaden;;;
;Ministerium für Justiz Mecklenburg -Vorpommern;19055;Puschkinstraße 19-21;;Schwerin;;;
;Ministerium der Justiz des Landes Nordrhein-Westfalen;40212;Martin-Luther-Platz 40;;Düsseldorf;;;
;Ministerium der Justiz Rheinland-Pfalz;55116;Ernst-Ludwig-Str. 3;;Mainz;;;
;Ministerium der Justiz Saarland ;66119;Franz-Josef-Röder-Straße 17;;Saarbrücken;;;
;Sächsisches Staatsministerium der Justiz;1097;Hospitalstraße 7;;Dresden;;;
;Ministerium für Justiz und Verbraucherschutz Sachsen-Anhalt ;39104;Domplatz 2 - 4;;Magdeburg;;;
;Ministerium für Justiz Schleswig-Holstein;24103;Lorentzendamm 35;;Kiel;;;
;Thüringer Ministerium für Justiz;99096;Werner-Seelenbinder-Straße 5;;Erfurt;;;
;Bischöfliches Gerneralvikariat Aachen;52062;Klosterplatz 7;;Aachen;;;
;Bistum Augsburg;86152;Kornhausgasse 2;;Augsburg;;;
;Erzbistum Bamberg ;96049;Jakobsplatz 9;;Bamberg;;;
;Erbistum Berlin;10117;Niederwallstraße 8-9;;Berlin;;;
;Bischöfliches Ordinariat Bistum Dresden-Meißen;1309;Käthe-Kollwitz-Ufer 84;;Dresden;;;
;Bistum Eichstätt Bischöfliches Ordinariat;85072;Luitpoldstr. 2;;Eichstätt;;;
;Bistum Erfurt Bischöfliches Ordinariat;99084;Herrmannsplatz 9;;Erfurt;;;
;Bistum Essen Bischöfliches Generalvikariat;45127;Zwölfling 16;;Essen;;;
;Erzbistum Freiburg Erzbischöfliches Ordinariat;79098;Schoferstr. 2;;Freiburg;;;
;Bistum Fulda Bischöfliches Generalvikariat;36037;Paulustor 5;;Fulda;;;
;Bistum Görlitz Bischöfliches Ordinariat;2826;Carl-von-Ossietzky-Str. 41/43;;Görlitz;;;
;Erzbistum Hamburg Erzbischöfliches Generalvikariat;20099;Am Mariendom 4;;Hamburg;;;
;Bistum Hildesheim Bischöfliches Generalvikariat;31134;Domhof 18-2;;Hildesheim;;;
;Erzbistum Köln Erzbischöfliches Generalvikariat;50668;Marzellenstr. 32;;Köln;;;
;Bistum Limburg Bischöfliches Ordinariat;65549;Roßmarkt 4;;Limburg;;;
;Bistum Magdeburg Bischöfliches Ordinariat;39104;Max-Josef-Metzger-Str. 1;;Magdeburg;;;
;Bistum Mainz Bischöfliches Ordinariat;55116;Bischofsplatz 2;;Mainz;;;
;Erzbischöfliches Ordinariat München;80063;Postfach 33 03 60;;München;;;
;Bischöfliches Generalvikariat Münster;48135;;;Münster;;;
;Bischöfliches Generalvikariat Osnabrück;49074;Hasestr. 40 A;;Osnabrück;;;
;Erzbistum Paderborn Erzbischöfliches Generalvikariat;33098;Domplatz 3;;Paderborn;;;
;Bistum Passau Bischöfliches Ordinariat;94032;Domplatz 7;;Passau;;;
;Bischöfliches Ordinariat Regensburg;93047;Niedermünstergasse 1;;Regensburg;;;
;Bistum Rottenburg-Stuttgart Bischöfliches Ordinariat;72108;Eugen-Bolz-Platz 1;;Rottenburg am Neckar;;;
; Bischöfliches Ordinariat Speyer;67345;Kleine Pfaffengasse 16;;Speyer;;;
;Bistum Trier Bischöfliches Generalvikariat;54290;Mustorstraße 2;;Trier;;;
;Bistum Würzburg Bischöfliches Ordinariat;97070;Domerschulstr. 2;;Würzburg;;;
